Area_SqFt,Bedrooms,Bathrooms,Location,Year_Built,Price
1500,3,2.0,Suburban,2005,245000
2200,4,3.0,Urban,2012,380000
1100,2,1.0,Rural,1998,135000
1800,3,2.0,Suburban,2015,290000
2800,5,4.0,Downtown,2020,520000
1400,3,2.0,Rural,2001,155000
1950,3,2.5,Suburban,2008,265000
3100,4,3.5,Downtown,2018,590000
950,2,1.0,Urban,1990,185000
2400,4,3.0,Suburban,2010,325000
1650,3,2.0,Urban,2004,270000
1250,2,1.5,Rural,1985,115000
2100,3,2.5,Suburban,2014,310000
3500,5,4.5,Downtown,2022,680000
1700,3,2.0,Urban,2011,295000
